facility_name,address,unique_lga,state,latitude,longitude,emergency_transport,ratings
Onyemaechi Maternity,"Owerri Road, Aba North, Abia",abia_aba_south, Abia,5.108,7.3457,True,4
St Anthony Hospital LTD,"Ulasi Road, Aba North, Abia",abia_aba_south, Abia,5.1012,7.3787,True,2
Umuogele PHC,"Aba South, Abia",abia_aba_south, Abia,5.0792,7.3773,False,2
Marc Rose Hospital,"Aba South, Abia",abia_aba_south, Abia,5.0876,7.3781,True,2
St Michael Medical Centre,"Onasanya, Lagos, Lagos",lagos_kosofe, Lagos,6.5998,3.4004,True,1
ROJAFIA CLINIC,"Solomon Street, Lagos, Lagos",lagos_kosofe, Lagos,6.5929,3.3975,False,2
Inland Specialist,"Owodunni Street, Lagos, Lagos",lagos_kosofe, Lagos,6.5862,3.3977,True,1
St Anthony Clinic,"Fadiya, Lagos, Lagos",lagos_kosofe, Lagos,6.5972,3.388,False,1
PHC Baâal,"Bakko, Plateau",plateau_qua_an_pan, Plateau,8.9254,9.2513,True,2
PHC Ajaruwa-Eke,"Dekina, Kogi",kogi_dekina, Kogi,7.6233,7.1116,True,4
MPHC,"Bukuru, Benue",benue_buruku, Benue,7.2966,9.2094,False,2
Oguntoye Houspital,"Surulere Quarters Road, Ado Ekiti, Ekiti",ekiti_ado_ekiti, Ekiti,7.61890233,5.20581553,True,4
Umuebulu Health Centre,"Oyigbo, Rivers",rivers_etche, Rivers,4.9145,7.1289,True,1
Ward Model Primary Health Centre Igwuruta,"Etche, Rivers",rivers_ikwerre, Rivers,4.97592496,7.02156705,True,2
Health post,"Abua/Odual, Rivers",rivers_abua_odual, Rivers,4.80622974,6.48320882,False,4
Hagi Medical Centre,"Rumu Chita-Igrita-Afara-Umaturu Road, Etche, Rivers",rivers_ikwerre, Rivers,4.9607573,7.02150486,True,2
Rivon Clinic,"Rumougba Estate Road, Obio/Akpor, Rivers",rivers_obio_akpor, Rivers,4.84124145,7.03382825,True,3
Modern primary health center Ibaa.,"Elele-Obelle-Isiokpo Road, Emuoha, Rivers",rivers_emuoha, Rivers,4.9844,6.8204,True,1
Health post,"Abua/Odual, Rivers",rivers_abua_odual, Rivers,4.88541671,6.45251589,False,4
Health post,"Abua/Odual, Rivers",rivers_abua_odual, Rivers,4.79882232,6.5161074,False,2
Tausayi Clinic & Maternity,"Bukuru Road, Bukuru, Plateau",plateau_jos_south, Plateau,9.78875895,8.86023068,False,3
Health post,"Abua/Odual, Rivers",rivers_abua_odual, Rivers,4.82335595,6.513481,False,1
Maggol Clinic,"Gwegwe Street, Yenegoa, Bayelsa",bayelsa_yenagoa, Bayelsa,4.92976189,6.27040492,True,4
Community Health Centre Ogu,"Yenegoa, Bayelsa",bayelsa_yenagoa, Bayelsa,4.89901392,6.26464376,False,2
Primary health care centre Akaba,"Yenegoa, Bayelsa",bayelsa_yenagoa, Bayelsa,4.90746717,6.26159522,False,1
Model PHC,"Ikwerre Road, Obio/Akpor, Rivers",rivers_obio_akpor, Rivers,4.84984167,6.99083305,True,4
Obio Cottage Hospital,"Trans-Amadi Industrial Layout Road, Obio/Akpor, Rivers",rivers_obio_akpor, Rivers,4.83382612,7.03356873,True,2
Yakamata Clinic,"Bakko, Plateau",plateau_qua_an_pan, Plateau,8.61313878,9.28704644,True,4
U.S.T. Med.Centre,"A Road, Port Harcourt, Rivers",rivers_port_harcourt, Rivers,4.79494835,6.97702696,True,3
Terzungwe Clinic,"Bukuru, Benue",benue_buruku, Benue,7.50247938,9.07281556,False,2
Social Clinic and Maternity,"B105, Bukuru, Benue",benue_buruku, Benue,7.24426249,9.19923545,False,4
St. Luke's Hospital,"Umusasa Road, Orlu, Imo",imo_orlu, Imo,5.78540333333333,7.03218166666667,True,2
Ihioma Health Center (new and unstaffed),"Orsu, Imo",imo_orlu, Imo,5.80930833333333,6.99611833333333,False,1
Usoma Hospital and Maternity,"Owus Avenue, Oru East, Imo",imo_orlu, Imo,5.77158833333333,6.991565,True,4
PRIMARY HEALTH CARE CENTRE OBOGORO,"Oil Mill Road, Yenegoa, Bayelsa",bayelsa_yenagoa, Bayelsa,4.91889213,6.25454593,True,1
Umuakagu Health Centre,"Ehime-Mbano, Imo",imo_ehime_mbano, Imo,5.63702991,7.31555006,False,4
Living water medical center,"Oyigbo, Rivers",rivers_oyigbo, Rivers,4.85739755,7.16092918,False,4
OPOROMA PHC,"Southern Ijaw, Bayelsa",bayelsa_southern_ijaw, Bayelsa,4.81377675,6.08110031,False,4
Obololi Health Post,"Southern Ijaw, Bayelsa",bayelsa_southern_ijaw, Bayelsa,4.82481467,6.2116035,False,2
Mandela Klinik,"Vom, Plateau",plateau_jos_south, Plateau,9.72563435,8.797862,True,2
PHC Giring,"Jos, Plateau",plateau_jos_south, Plateau,9.87965484,8.88687306,False,3
PHC Vom Vet,"Vom, Plateau",plateau_jos_south, Plateau,9.72925569,8.79132159,False,2
PHC Kuru,"Dorowa-Gindin-Dutse, Plateau",plateau_jos_south, Plateau,9.7208758,8.84309029,True,3
Divine Wisdom hospital,"Port Harcourt-Aba Expressway, Oyigbo, Rivers",rivers_oyigbo, Rivers,4.8762676,7.12261717,True,4
Godâs care maternity,"Oyigbo, Rivers",rivers_oyigbo, Rivers,4.85140597,7.19473593,True,4
Christ the king hospital,"Port Harcourt-Aba Road, Oyigbo, Rivers",rivers_oyigbo, Rivers,4.87245343,7.1300778,False,4
Ave Maria clinic,"Oyigbo, Rivers",rivers_oyigbo, Rivers,4.85738188,7.16631823,True,3
Amarachukwu marternity,"Obigbo-Abiama-Oboakpu-Umu Abayi Road, Oyigbo, Rivers",rivers_oyigbo, Rivers,4.84803667,7.22355941,False,4
Tadam medical centre,"Bukuru Road, Jos, Plateau",plateau_jos_south, Plateau,9.87713526,8.87342848,True,1
Sauki Clinic Kurgwi,"Bakko, Plateau",plateau_qua_an_pan, Plateau,8.78788376,9.29751665,True,3
(Terngu) Atih Clinic and Maternity,"Bukuru, Benue",benue_buruku, Benue,7.463262,9.14097785,False,3
PHC Kwalla,"Bakko, Plateau",plateau_qua_an_pan, Plateau,8.91157078,9.28551882,True,4
Gbor Clinic and Maternity,"B105, Bukuru, Benue",benue_buruku, Benue,7.24943805,9.20052048,False,4
Dura Clinic and Maternity,"A4, Ushongo, Benue",benue_buruku, Benue,7.11882853,9.26745666,False,2
Cojaz clinic and Maternity,"Ugba-Lessel Road, Bukuru, Benue",benue_buruku, Benue,7.24504262,9.2038101,True,2
Saakpor. Clinic and Maternity,"Ugba-Lessel Road, Bukuru, Benue",benue_buruku, Benue,7.24692789,9.20454359,False,1
CRCN health post,"Wukari, Taraba",taraba_wukari, Taraba,7.87234216,9.77409989,False,2
Our Clinic & Maternity Doemak,"Bakko, Plateau",plateau_qua_an_pan, Plateau,8.94767077,9.2419165,True,4
Nyankwala health centre,"Wukari-Numan Road, Mallan-Kagwa, Taraba",taraba_wukari, Taraba,8.09452802,10.06974923,False,4
Modern dispensary mahanga,"Wukari-Numan Road, Mallan-Kagwa, Taraba",taraba_wukari, Taraba,8.17377445,10.1534614,False,4
PHC Kwande,"Bakko, Plateau",plateau_qua_an_pan, Plateau,8.71686101,9.3006715,False,4
Phc model horop,"Bakko, Plateau",plateau_bokkos, Plateau,9.13351603,9.00249383,True,3
KYARMANYA DISPENSARY,"Sabua, Katsina",katsina_bindawa, Katsina,12.6993,7.9566,False,1
TUWARU DISPENSARY,"Sabua, Katsina",katsina_bindawa, Katsina,12.7335,7.9022,False,1
GAIWAR KURMI DISPENSARY,"Sabua, Katsina",katsina_bindawa, Katsina,12.63260934,7.89791474,False,4
BARGAI DISPENSARY,"Sabua, Katsina",katsina_bindawa, Katsina,12.6684,7.844,False,4
NAHUCE DISPENSARY,"Sabua, Katsina",katsina_bindawa, Katsina,12.7732,7.8872,False,2
DAKWALE PRIMARY SCHOOL,"Sabua, Katsina",katsina_bindawa, Katsina,12.7893,7.89,False,1
BUTUNAWA DISPENSARY,"Sabua, Katsina",katsina_bindawa, Katsina,12.8096,7.89,False,3
MAZANYA KAMFANI DISPENSARY,"Sabua, Katsina",katsina_bindawa, Katsina,12.7742,7.8475,False,2
ZAKATA DISPENSARY,"Rimi-Mani Road, Sabua, Katsina",katsina_bindawa, Katsina,12.81083367,7.79987424,False,3
AGALAWA DISPENSARY,"Sabua, Katsina",katsina_bindawa, Katsina,12.77025124,7.79817632,False,3
LARABAWA DISPENSARY,"Sabua, Katsina",katsina_bindawa, Katsina,12.72148779,7.79722081,False,3
SHIBDAWA PHC,"Sabua, Katsina",katsina_bindawa, Katsina,12.7508,7.8225,False,1
GIMI DISPENSARY,"Sabua, Katsina",katsina_bindawa, Katsina,12.7221,7.83,False,4
KIRYA DISPENSARY,"Sabua, Katsina",katsina_bindawa, Katsina,12.70835792,7.81423209,False,4
KUMA DISPENSARY,"Sabua, Katsina",katsina_bindawa, Katsina,12.677,7.8688,False,2
YANJALO DISPENSARY,"Sabua, Katsina",katsina_bindawa, Katsina,12.6886,7.8664,False,4
JIBAWA DISPENSARY,"Sabua, Katsina",katsina_bindawa, Katsina,12.6886,7.8527,False,1
RUGAR BADE DISPENSARY,"Sabua, Katsina",katsina_bindawa, Katsina,12.7022,7.8577,False,1
BAâAWA DISPENSARY,"Sabua, Katsina",katsina_bindawa, Katsina,12.65432474,7.94680096,False,4
DANMARKE DISPENSARY,"Sabua, Katsina",katsina_bindawa, Katsina,12.61255222,7.99018563,False,4
DAYE DISPENSARY,"Sabua, Katsina",katsina_bindawa, Katsina,12.613,7.9623,False,3
RINJIN BAUSHI DISPENSARY,"Sabua, Katsina",katsina_bindawa, Katsina,12.58164437,7.97141815,False,4
GWANZA DISPENSARY,"Sabua, Katsina",katsina_bindawa, Katsina,12.57727897,7.90957417,False,1
PRIMARY HEALTH CENTRE TAMA,"Sabua, Katsina",katsina_bindawa, Katsina,12.60699234,7.91258818,False,4
MAGAMI DISPENSARY,"Sabua, Katsina",katsina_bindawa, Katsina,12.62001522,7.86750386,False,1
MAKERA DISPENSARY,"Sabua, Katsina",katsina_bindawa, Katsina,12.6537,7.9194,False,3
BINDAWA DISPENSARY,"Sabua, Katsina",katsina_bindawa, Katsina,12.6701246,7.8040845,False,4
ZANGO DISPENSARY,"Sabua, Katsina",katsina_bindawa, Katsina,12.6462,7.8121,False,1
TAFASHIYA DISPENSARY,"Sabua, Katsina",katsina_bindawa, Katsina,12.6471,7.7989,False,2
Mini Health Center,"Ikwerre Road, Port Harcourt, Rivers",rivers_port_harcourt, Rivers,4.80483664,6.98952394,False,2
General hospital wukari,"T601, Wukari, Taraba",taraba_wukari, Taraba,7.87340912,9.76688713,True,4
Faith maternity clinic,"Wukari, Taraba",taraba_wukari, Taraba,7.87035446,9.76734779,False,4
Gindin doruwa MCH center,"Wukari-Numan Road, Mallan-Kagwa, Taraba",taraba_wukari, Taraba,8.10173315,10.06846449,False,4
PHC Kinkiso,"Wukari-Numan Road, Wukari, Taraba",taraba_wukari, Taraba,7.88233704,9.79535073,False,4
Olimar clinic,"Wetheral Road, Owerri Municipal, Imo",imo_owerri_municipal, Imo,5.48808634971285,7.0375424091924,True,1
Lavinda Eye Specialist Hospital and Laser Centre,"Daniel Close, Port Harcourt, Rivers",rivers_port_harcourt, Rivers,4.79394171,7.04343589,True,4
Goje MCH,"Mallan-Kagwa, Taraba",taraba_gashaka, Taraba,7.3794,11.2438,False,1
Alfa Maternity,"Serti-Yerima Iya-Madule Ribao Berg Road, Mallan-Kagwa, Taraba",taraba_gashaka, Taraba,7.5092,11.3645,True,1
Sabon Gari MCH,"Serti-Yerima Iya-Madule Ribao Berg Road, Mallan-Kagwa, Taraba",taraba_gashaka, Taraba,7.504,11.361,True,2
CRCN Comprehensive Clinic,"Serti-Panwai-Bali Road, Mallan-Kagwa, Taraba",taraba_gashaka, Taraba,7.4975,11.3485,True,3
Seiyefa Clinic,"Harold Wilson Drive, Port Harcourt, Rivers",rivers_port_harcourt, Rivers,4.75466831,7.03897285,True,3
ST.PETER CLINIC,"Wukari-Numan Road, Mallan-Kagwa, Taraba",taraba_ardo_kola, Taraba,8.89078029,11.28299798,False,2
Ngaebije Dispensary,"Wukari-Numan Road, Mallan-Kagwa, Taraba",taraba_ardo_kola, Taraba,8.84406971,11.00897952,False,4
Sunkani Town Clinic,"Mallan-Kagwa, Taraba",taraba_ardo_kola, Taraba,8.69788979,11.26180267,False,4
Lafiya Clinic,"Wukari-Numan Road, Mallan-Kagwa, Taraba",taraba_ardo_kola, Taraba,8.9112485,11.3194156,False,1
Comprehensive Health Centre Opokuma South,"Kolokuma/Opokuma, Bayelsa",bayelsa_kolokuma_opokuma, Bayelsa,5.08066335,6.25488524,False,1
"Comprehensive Health Centre, Odi","Kolokuma/Opokuma, Bayelsa",bayelsa_kolokuma_opokuma, Bayelsa,5.17280904,6.30028908,False,1
"General Hospital, Odi","Kolokuma/Opokuma, Bayelsa",bayelsa_kolokuma_opokuma, Bayelsa,5.17259701,6.29623607,True,2
Cottage Hospital Ayama,"Ekeremor, Bayelsa",bayelsa_ekeremor, Bayelsa,4.97675836,5.74069272,False,3
PHC Ayamassa,"Bomadi, Delta",bayelsa_ekeremor, Delta,5.12415343,5.91788618,False,1
PHC Agge,"Ekeremor, Bayelsa",bayelsa_ekeremor, Bayelsa,5.12887256,5.39076588,False,3
Primary Health Care Centre Otabula,"Ogbia, Bayelsa",bayelsa_ogbia, Bayelsa,4.72926969,6.29871043,False,3
Primary Health Care Centre Ewoi,"Ogbia, Bayelsa",bayelsa_ogbia, Bayelsa,4.76152138,6.29137374,False,2
PHCC,"Olamaboro, Kogi",kogi_olamaboro, Kogi,7.28221103,7.68608653,True,2
Model PHCC,"Olamaboro, Kogi",kogi_olamaboro, Kogi,7.19874695,7.52560287,False,4
PHC,"Olamaboro, Kogi",kogi_olamaboro, Kogi,7.11242783,7.57161693,False,4
PHC,"Ogbadigbo, Benue",kogi_olamaboro, Benue,7.07526294,7.51794011,False,4
PHC,"Olamaboro, Kogi",kogi_olamaboro, Kogi,7.1387302,7.45015892,True,2
PHC,"Olamaboro, Kogi",kogi_olamaboro, Kogi,7.22612751,7.42692052,False,1
PHC,"Olamaboro, Kogi",kogi_olamaboro, Kogi,7.22623692,7.44749417,False,4
PHC,"Olamaboro, Kogi",kogi_olamaboro, Kogi,7.17412304,7.48487682,False,4
Zenith Hospital,"Awolowo Street, Umuahia North, Abia",abia_umuahia_north, Abia,5.53959586,7.49686669,False,1
Phc ogbagi,"Udeni-Magaji, Nassarawa",nasarawa_nasarawa_eggon, Nassarawa,8.66856327,8.47736046,True,1
Rumuji primary health centre,"Warri-Patani-Port Harcourt Road, Emuoha, Rivers",rivers_emuoha, Rivers,4.9478,6.7765,True,2
Dala clinic&maternity home,"Maiduguri, Borno",borno_maiduguri, Borno,11.82585736,13.12707515,False,3
Naf medical center 79 cg maiduguri,"Baja Road, Maiduguri, Borno",borno_maiduguri, Borno,11.84087558,13.07197606,False,3
M C H Yindiski,"Potiskum-Damcuwakplere-Jajere Road, Potiskum, Yobe",yobe_potiskum, Yobe,11.72454848,11.08675282,False,2
Umuopara PHC,"Ehime-Mbano, Imo",imo_ehime_mbano, Imo,5.65537421,7.31516386,True,2
Health Clinic Idi-aOta Road,"Sango Ota-Idi-Iroko Road, Ado Odo/Ota, Ogun",ogun_yewa_south, Ogun,6.69449674,2.97019935,True,3
Juli Comfort Clinic,"Ilejemeje, Ekiti",ekiti_ilejemeje, Ekiti,7.95284649,5.23733433,False,2
Wardmodelphccentre,"Ikot Adiaha-Kono-Sii-Kpor Road, Khana, Rivers",rivers_khana, Rivers,4.61056164,7.40513286,False,1
Model Health Centre,"Ilejemeje, Ekiti",ekiti_ilejemeje, Ekiti,7.92651402,5.17480214,False,1
Wardmodelphccentre,"R617, Khana, Rivers",rivers_khana, Rivers,4.63630315,7.4092865,False,3
Kaigama Nursing Home &Maternity,"Potiskum-Sabon Gari-Gaska Road, Potiskum, Yobe",yobe_potiskum, Yobe,11.69915765,11.09225221,False,1
Basic Health Centre,"Oye Ekiti-Iye-Ikun Road, Ilejemeje, Ekiti",ekiti_ilejemeje, Ekiti,7.94703456,5.24294366,False,2
Kikon clinic,"Songeli, Adamawa",adamawa_numan, Adamawa,9.47550352,11.98332012,False,4
Green villiage clinic,"Yola-Numan Road, Numan, Adamawa",adamawa_numan, Adamawa,9.45282442,12.03588301,False,1
Gangara dispensary,"Dangari-Adua, Sokoto",sokoto_sabon_birni, Sokoto,13.3472612,6.54162562,False,3
Kwapukai health clinic,"A 345, Songeli, Adamawa",adamawa_numan, Adamawa,9.52912344,12.00909437,False,2
Zagun clinic,"Songeli, Adamawa",adamawa_numan, Adamawa,9.50208283,11.98646143,False,3
Imburu health clinic,"Songeli, Adamawa",adamawa_numan, Adamawa,9.4866992,12.01731091,False,4
PHC Ozuoba,"NTA-Choba Road, Obio/Akpor, Rivers",rivers_obio_akpor, Rivers,4.87108302,6.92889096,True,4
Model Health Centre,"Oye Ekiti-Iye-Ikun Road, Ilejemeje, Ekiti",ekiti_ilejemeje, Ekiti,7.94155585,5.25675158,False,1
PHC LOLO,"Hinanbiro, Kebbi",kebbi_bagudo, Kebbi,11.63886877,3.61668785,False,1
PHC matsinkai,"Hinanbiro, Kebbi",kebbi_bagudo, Kebbi,11.43347811,4.37854457,False,3
Basic Health Centre,"Ilejemeje, Ekiti",ekiti_ilejemeje, Ekiti,7.91228585,5.25043269,False,2
General Hospital,"Ilejemeje, Ekiti",ekiti_ilejemeje, Ekiti,7.95496788,5.22889373,False,1
St. Vincent Hospital,"Elioparamwo Road, Obio/Akpor, Rivers",rivers_obio_akpor, Rivers,4.82142932,6.95578141,True,2
Agic Staff Clinic,"Agip Road, Obio/Akpor, Rivers",rivers_obio_akpor, Rivers,4.80112266,6.97538428,True,3
St. Jecinta PHC Ihyalev-Utange,"A4, Ushongo, Benue",benue_ushongo, Benue,7.03785225160851,9.28481767545504,True,3
Government Maternity/Health Centre,"Umulolo Road, Orlu, Imo",imo_orlu, Imo,5.80028833333333,7.03446833333333,False,3
St Charles Hospital Poperi Amasiri,"Afikpo South, Ebonyi",ebonyi_afikpo_north, Ebonyi,5.90382508,7.884175,True,3
PHC Leâet,"Bakko, Plateau",plateau_qua_an_pan, Plateau,9.0918,9.2611,False,1
Steps of faith hospital,"Onumiri Street, Owerri Municipal, Imo",imo_owerri_municipal, Imo,5.47995245661774,7.03447856758822,True,3
Ndukwe,"Afikpo South, Ebonyi",ebonyi_afikpo_north, Ebonyi,5.92296122,7.8779668,True,3
Akanto Health Post,"Afikpo South, Ebonyi",ebonyi_afikpo_north, Ebonyi,5.9347226,7.82063277,False,2
Amasiri Health Centre,"Afikpo South, Ebonyi",ebonyi_afikpo_north, Ebonyi,5.9111326,7.88283858,False,1
PHC kalial,"Hinanbiro, Kebbi",kebbi_bagudo, Kebbi,11.4880707,4.10270959,False,4
Omode maternity centre,"Ilorin South, Kwara",kwara_ilorin_south, Kwara,8.44713267,4.74642501,False,2
Watsilla LEEMP maternity,"Songeli, Adamawa",adamawa_michika, Adamawa,10.5267725,13.32740645,False,3
Manji memorial Dispensary,"Yola-Mubi Road, Songeli, Adamawa",adamawa_michika, Adamawa,10.5774728,13.33688067,False,2
PHC zagga,"Hinanbiro, Kebbi",kebbi_bagudo, Kebbi,11.56360164,4.12069897,False,1
Lani,"Hinanbiro, Kebbi",kebbi_bagudo, Kebbi,11.52538472,4.25882305,False,1
Bagudo general Hospital,"Hinanbiro, Kebbi",kebbi_bagudo, Kebbi,11.41350338,4.23751517,True,4
Area L Health centre,"Owerri Municipal, Imo",imo_owerri_municipal, Imo,5.48766428295451,7.00558420083662,True,1
Isolore Clinic Centre,"Ifelodun, Kwara",kwara_ilorin_south, Kwara,8.47037796,4.71834575,False,3
Primary Health Care,"Oniyangi Street, Ibadan North-East, Oyo",oyo_ona_ara, Oyo,7.37191191,3.94777795,True,1
Federal Medical Centre,"Ehime-Mbano, Imo",imo_ehime_mbano, Imo,5.66158753,7.23576253,False,1
Mater Dei Maternity,"Ehime-Mbano, Imo",imo_ehime_mbano, Imo,5.71424556,7.3156916,False,1
Asiyanbi Memorial Clinic and Maternity Center,"Para Road, Ibadan North-East, Oyo",oyo_ona_ara, Oyo,7.36650963,3.9544373,True,1
Ibuks Clinics and Maternity Clinic,"Orisunmibare Tioya Street, Ibadan North-East, Oyo",oyo_ona_ara, Oyo,7.36383537,3.94693681,True,1
Ajao Memorial Specialist Hospital,"Akanran Road, Ibadan North-East, Oyo",oyo_ona_ara, Oyo,7.35913155,3.93252499,True,3
Primary Health Care center,"Akaran Road, Ona Ara, Oyo",oyo_ona_ara, Oyo,7.22637345,4.02587479,True,2
Comprehensive health centre Area M,"Western Center Tangent Arterial Highway, Owerri Municipal, Imo",imo_owerri_municipal, Imo,5.48254452735924,7.0007889513939,True,2
Ptototype clinic Balogun Fulani ward 2,"Abeokuta Road, Ilorin West, Kwara",kwara_ilorin_south, Kwara,8.49467943,4.55685872,False,2
"St Josephâs Hospital, Ibeku-Opi","Opi Uno Road, Nsukka, Enugu",enugu_nsukka, Enugu,6.7826,7.433,True,2
Faith health clinic Atoga,"Gboko, Benue",benue_ushongo, Benue,7.20836856,9.01081286,True,3
Gods grace clinic/maternity msa,"Gboko, Benue",benue_ushongo, Benue,7.22756088,9.00648936,True,2
Mbaachi health clinic,"Zembel-Zuwel-Utse Road, Ushongo, Benue",benue_ushongo, Benue,7.10811742,8.95055736,True,1
Fikayel Primary Health Centre,"Dwaja, Gombe",borno_bayo, Gombe,10.5441,11.6214,True,2
Maternity/Dispensary,"Edu, Kwara",kwara_edu, Kwara,8.79252815,5.209591,False,4
Health Post,"Edu, Kwara",kwara_edu, Kwara,8.83303395,5.27615274,False,3
Ogo Oluwa Hospital Bachita,"Edu, Kwara",kwara_edu, Kwara,9.06165085,4.95954777,True,4
Maternity,"Edu, Kwara",kwara_edu, Kwara,9.0669599,4.95586145,True,2
Phc ubbe,"A3, Udeni-Magaji, Nassarawa",nasarawa_nasarawa_eggon, Nassarawa,8.88452427,8.42047723,False,3
MDGs PHC Dioka,"Ehime-Mbano, Imo",imo_ehime_mbano, Imo,5.71065228,7.31414208,False,1
PHC Gwako,"Nuku, Federal Capital Territory",fct_gwagwalada, Federal Capital Territory,8.96344255,7.13814074,False,1
PHC Dobi,"Nuku, Federal Capital Territory",fct_gwagwalada, Federal Capital Territory,9.06581864,6.99327546,False,3
Ikpapiam Health Clinic,"Ushongo, Benue",benue_ushongo, Benue,7.03231276359459,9.1792255588789,False,1
Lakeland Clinic & Maternity Nike Road Abakpa,"Enugu, Enugu",enugu_enugu_east, Enugu,6.49033838,7.51580776,False,4
FSP Clinic,"Mimitlu, Borno",borno_monguno, Borno,12.66676447,13.61804815,False,3
Mofio Dispensary,"Mimitlu, Borno",borno_monguno, Borno,12.30465845,13.41902813,False,2
Primary Health Care Center fawole ,"Ajia Road, Ibadan North-East, Oyo",oyo_ona_ara, Oyo,7.37356859,3.96651918,True,3
Unique Consultants Hospital,"State Hospital Road, Ado Ekiti, Ekiti",ekiti_ado_ekiti, Ekiti,7.6360784,5.21759723,True,1
Basic health centre Aho,"Oyun, Kwara",kwara_oyun, Kwara,8.09505953,4.54117906,True,1
Basic Health Centre Ira,"Oyun, Kwara",kwara_oyun, Kwara,8.08578906,4.5972923,True,3
Model Primary Health Centre Igbotele,"Asa, Kwara",kwara_oyun, Kwara,8.24774161,4.58620768,True,4
Basic Health Clinic Ikotun,"Oyun, Kwara",kwara_oyun, Kwara,8.22854419,4.61820487,False,4
Health Office,"West Street, Aba North, Abia",abia_aba_south, Abia,5.1148,7.3735,True,2
Sabonlayi Awak PHC,"A 345, Dwaja, Gombe",gombe_kaltungo, Gombe,10.2621755,11.1141422,True,1
Farum Maternity clinic,"Dwaja, Gombe",gombe_kaltungo, Gombe,9.94026425,11.32696796,True,1
Akpabu health centre,"Ahoada East, Rivers",rivers_emuoha, Rivers,5.1414,6.707,True,1
Primary health centre Ubimini,"Opete Road, Ogba/Egbema/Ndoni, Rivers",rivers_emuoha, Rivers,5.2697,6.7381,False,4
Comprehensive Health Centre Ojoku,"Oyun, Kwara",kwara_oyun, Kwara,8.25558934,4.65470673,True,1
Victory Clinic,"Abeokuta Expressway, Ifo, Ogun",ogun_ifo, Ogun,6.82545568,3.19060954,True,3
Sifon Clinic Ltd,"Udokang Street, Uyo, Akwa Ibom",akwa_ibom_uyo, Akwa Ibom,5.03400493,7.9366632,True,4
Potwana model center,"Dwaja, Gombe",gombe_kaltungo, Gombe,9.95699655,11.3440095,True,4
Ajibola medical centre,"Offa-Ajasse Road, Offa, Kwara",kwara_oyun, Kwara,8.17917805,4.7359787,True,3
PHC Karshi,"Udeni-Magaji, Nassarawa",nasarawa_karu, Nassarawa,8.89347025,7.65883824,False,1
Chinwedu Hospital/Maternity Abakpa,"Enugu, Enugu",enugu_enugu_east, Enugu,6.47991312,7.5195601,True,1
National Orthopedic Hospital Abakaliki Road Enugu,"Enugu, Enugu",enugu_enugu_east, Enugu,6.46508621,7.52774553,True,4
